feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
MH,0.006018176,1.00866455e-05,0.17740735,0.22582495
MW,0.0,0.0,0.0026693556,0.013424056
PE,0.03874703,0.0049162526,0.14017554,0.2083445
SIMD,0.09282615,0.1307382,0.0016294101,0.26006508
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
inputDataType (bits),0.0,0.0,1.4190741e-06,0.00017031554
isRam_styleBlock,0.7455274,0.0,0.00017297876,0.012887752
isRam_styleDistributed,0.0,0.0,0.0,0.0
isResTypeDsp,0.0,0.86400807,0.0010347379,0.02966535
isResTypeLut,0.0,0.0,0.0,0.0
mac_complexity,0.11688123,0.00032740462,0.6768255,0.24927236
noActivation,0.0,0.0,0.0,0.0
numInputVectors,0.0,0.0,8.3697276e-05,0.00034561043
outputDataType (bits),0.0,0.0,0.0,0.0
